source,target,value
0,1,19
0,2,16
0,3,16
1,0,38
1,4,11
1,5,10
4,6,18
7,0,11
7,8,6
9,4,8
10,11,17
10,12,8
10,6,7
10,13,7
6,4,16
6,13,15
11,10,13
11,4,8
11,14,5
11,6,4
11,9,3
11,15,3
13,6,14
13,4,9
13,14,3
13,10,3
13,16,3
13,9,3
17,18,3
15,4,5
15,11,5
15,0,5
19,20,91
19,21,63
19,22,16
19,6,10
19,5,8
19,1,7
19,23,6
19,24,6
8,7,7
18,25,8
16,14,14
16,6,7
16,26,5
16,27,4
16,13,4
5,20,8
5,19,7
5,6,7
5,1,6
28,3,11
28,9,5
28,0,5
28,4,4
20,19,100
20,21,45
20,22,15
20,5,10
20,6,7
20,24,7
29,0,11
30,0,4
30,31,4
32,10,4
33,10,4
33,34,3
33,11,3
33,18,3
33,12,2
33,5,2
26,16,9
26,5,7
26,6,6
26,10,4
35,0,5
35,6,4
12,34,15
12,10,6
12,36,3
12,5,3
3,0,12
3,37,6
3,4,4
3,38,3
3,9,2
3,13,2
3,11,2
3,2,2
34,12,17
34,36,4
31,30,4
22,19,15
22,20,13
22,21,8
22,9,6
24,19,6
24,6,6
24,20,5
24,1,4
24,0,4
39,37,29
39,0,9
39,23,4
39,1,4
39,9,3
39,40,3
39,41,3
39,4,3
40,0,3
40,39,3
40,29,2
40,9,2
14,16,22
14,13,4
14,11,4
14,42,3
14,0,3
14,2,2
14,6,2
14,43,2
14,4,1
44,11,3
44,22,3
44,10,3
23,39,4
23,19,4
23,1,2
23,0,2
23,20,2
23,37,2
23,16,2
25,18,8
45,0,9
21,19,55
21,20,38
21,22,8
21,6,6
21,5,5
37,39,17
37,0,5
37,3,4
37,1,4
37,4,2
37,22,1
37,23,1
37,7,1
37,9,1
37,35,1
2,0,13
2,4,6
2,43,4
2,14,3
46,11,3
46,10,3
36,34,4
36,12,4
36,10,2
43,4,5
43,2,3
43,14,2
43,0,2
43,13,2
43,9,2
43,3,2
38,3,3
38,4,3
38,0,3
47,24,2
47,6,2
47,0,1
48,27,3
48,10,2
48,16,2
48,6,2
48,26,1
48,9,1
41,39,3
41,0,1
49,0,2
42,14,6
27,16,4
27,6,3
27,26,2
