id,rank,name
0,1,Game of Thrones
1,2,The Walking Dead
4,3,Stranger Things
7,4,Rick and Morty
9,5,Shameless
10,6,Grey's Anatomy
6,7,Riverdale
11,8,This Is Us
13,9,13 Reasons Why
17,10,The Office
15,11,American Horror Story
19,12,The Flash
8,13,South Park
18,14,Friends
16,15,Pretty Little Liars
5,16,Supernatural
28,17,Orange is the New Black
20,18,Arrow
29,19,Vikings
30,20,Doctor Who
32,21,General Hospital
33,22,The Big Bang Theory
26,23,The Vampire Diaries
35,24,Twin Peaks (1990)
12,25,Criminal Minds
3,26,House of Cards
34,27,NCIS
31,28,Sherlock
22,29,Gotham
24,30,The 100
39,31,Breaking Bad
40,32,Sons of Anarchy
14,33,Big Little Lies
44,34,Empire
23,35,Prison Break
25,36,Seinfeld
45,37,Outlander
21,38,Supergirl
37,39,Better Call Saul
2,40,Westworld
46,41,Nashville
36,42,Bones
43,43,Black Mirror
38,44,Narcos
47,45,Legion
48,46,One Tree Hill
41,47,Dexter
49,48,Suits
42,49,Girls
27,50,Gossip Girl
