id,rank,name,party,state,name-only
48,86,Dan Sullivan (R-AK),Republican,AK,Dan Sullivan
19,24,Lisa Murkowski (R-AK),Republican,AK,Lisa Murkowski
92,77,Richard Shelby (R-AL),Republican,AL,Richard Shelby
93,7,Doug Jones (D-AL),Democratic,AL,Doug Jones
80,99,John Boozman (R-AR),Republican,AR,John Boozman
51,23,Tom Cotton (R-AR),Republican,AR,Tom Cotton
15,14,Jeff Flake (R-AZ),Republican,AZ,Jeff Flake
64,1,John McCain (R-AZ),Republican,AZ,John McCain
33,12,Dianne Feinstein (D-CA),Democratic,CA,Dianne Feinstein
1,9,Kamala Harris (D-CA),Democratic,CA,Kamala Harris
46,30,Cory Gardner (R-CO),Republican,CO,Cory Gardner
47,44,Michael Bennet (D-CO),Democratic,CO,Michael Bennet
37,37,Chris Murphy (D-CT),Democratic,CT,Chris Murphy
38,20,Richard Blumenthal (D-CT),Democratic,CT,Richard Blumenthal
35,65,Chris Coons (D-DE),Democratic,DE,Chris Coons
36,96,Tom Carper (D-DE),Democratic,DE,Tom Carper
20,48,Bill Nelson (D-FL),Democratic,FL,Bill Nelson
21,11,Marco Rubio (R-FL),Republican,FL,Marco Rubio
49,59,David Perdue (R-GA),Republican,GA,David Perdue
50,62,Johnny Isakson (R-GA),Republican,GA,Johnny Isakson
28,93,Brian Schatz (D-HI),Democratic,HI,Brian Schatz
29,76,Mazie Hirono (D-HI),Democratic,HI,Mazie Hirono
39,25,Chuck Grassley (R-IA),Republican,IA,Chuck Grassley
40,64,Joni Ernst (R-IA),Republican,IA,Joni Ernst
72,72,Jim (James) Risch (R-ID),Republican,ID,Jim (James) Risch
75,89,Mike Crapo (R-ID),Republican,ID,Mike Crapo
55,26,Dick Durbin (D-IL),Democratic,IL,Dick Durbin
56,36,Tammy Duckworth (D-IL),Democratic,IL,Tammy Duckworth
59,61,Joe Donnelly (D-IN),Democratic,IN,Joe Donnelly
76,73,Todd Young (R-IN),Republican,IN,Todd Young
68,82,Jerry Moran (R-KS),Republican,KS,Jerry Moran
69,80,Pat Roberts (R-KS),Republican,KS,Pat Roberts
42,5,Mitch McConnell (R-KY),Republican,KY,Mitch McConnell
85,8,Rand Paul (R-KY),Republican,KY,Rand Paul
18,38,Bill Cassidy (R-LA),Republican,LA,Bill Cassidy
81,81,John Kennedy (R-LA),Republican,LA,John Kennedy
58,68,Ed Markey (D-MA),Democratic,MA,Ed Markey
3,4,Elizabeth Warren (D-MA),Democratic,MA,Elizabeth Warren
11,49,Ben Cardin (D-MD),Democratic,MD,Ben Cardin
12,78,Chris Van Hollen (D-MD),Democratic,MD,Chris Van Hollen
5,54,Angus King (I-ME),Independent,ME,Angus King
6,15,Susan Collins (R-ME),Republican,ME,Susan Collins
53,60,Debbie Stabenow (D-MI),Democratic,MI,Debbie Stabenow
54,83,Gary Peters (D-MI),Democratic,MI,Gary Peters
0,43,Amy Klobuchar (D-MN),Democratic,MN,Amy Klobuchar
99,74,Tina Smith (D-MN),Democratic,MN,Tina Smith
43,32,Claire McCaskill (D-MO),Democratic,MO,Claire McCaskill
44,51,Roy Blunt (R-MO),Republican,MO,Roy Blunt
95,97,Roger Wicker (R-MS),Republican,MS,Roger Wicker
96,87,Thad Cochran (R-MS),Republican,MS,Thad Cochran
60,70,Jon Tester (D-MT),Democratic,MT,Jon Tester
83,69,Steve Daines (R-MT),Republican,MT,Steve Daines
74,33,Richard Burr (R-NC),Republican,NC,Richard Burr
91,35,Thom Tillis (R-NC),Republican,NC,Thom Tillis
45,66,Heidi Heitkamp (D-ND),Democratic,ND,Heidi Heitkamp
61,98,John Hoeven (R-ND),Republican,ND,John Hoeven
13,19,Ben Sasse (R-NE),Republican,NE,Ben Sasse
14,84,Deb Fischer (R-NE),Republican,NE,Deb Fischer
65,95,Jeanne Shaheen (D-NH),Democratic,NH,Jeanne Shaheen
